edition_info,url
Edição  nº 122 de 12 de outubro de 1967,https://goiania.go.gov.br/Download/legislacao/diariooficial/1967/do_19671012_000000122.pdf
Edição  nº 121 de 14 de setembro de 1967,https://goiania.go.gov.br/Download/legislacao/diariooficial/1967/do_19670914_000000121.pdf
Edição  nº 120 de 24 de agosto de 1967,https://goiania.go.gov.br/Download/legislacao/diariooficial/1967/do_19670824_000000120.pdf
Edição  nº 119 de 04 de agosto de 1967,https://goiania.go.gov.br/Download/legislacao/diariooficial/1967/do_19670804_000000119.pdf
Edição  nº 118 de 20 de julho de 1967,https://goiania.go.gov.br/Download/legislacao/diariooficial/1967/do_19670720_000000118.pdf
Edição  nº 117 de 14 de julho de 1967,https://goiania.go.gov.br/Download/legislacao/diariooficial/1967/do_19670714_000000117.pdf
Edição  nº 116 de 15 de junho de 1967,https://goiania.go.gov.br/Download/legislacao/diariooficial/1967/do_19670615_000000116.pdf
Edição  nº 63 de 31 de dezembro de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19621231_000000063.pdf
Edição  nº 62 de 19 de dezembro de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19621219_000000062.pdf
Edição  nº 61 de 30 de novembro de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19621130_000000061.pdf
Edição  nº 60 de 14 de novembro de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19621114_000000060.pdf
Edição  nº 59 de 14 de agosto de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19620814_000000059.pdf
Edição  nº 58 de 02 de agosto de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19620802_000000058.pdf
Edição  nº 57 de 06 de julho de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19620706_000000057.pdf
Edição  nº 56 de 21 de junho de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19620621_000000056.pdf
Edição  nº 55 de 05 de maio de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19620505_000000055.pdf
Edição  nº 54 de 12 de abril de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19620412_000000054.pdf
Edição  nº 53 de 20 de março de 1962,https://goiania.go.gov.br/Download/legislacao/diariooficial/1962/do_19620320_000000053.pdf
Edição  nº 73 de 31 de dezembro de 1963,https://goiania.go.gov.br/Download/legislacao/diariooficial/1963/do_19631231_000000073.pdf
Edição  nº 72 de 20 de dezembro de 1963,https://goiania.go.gov.br/Download/legislacao/diariooficial/1963/do_19631220_000000072.pdf
Edição  nº 71 de 21 de novembro de 1963,https://goiania.go.gov.br/Download/legislacao/diariooficial/1963/do_19631121_000000071.pdf
Edição  nº 70 de 14 de novembro de 1963,https://goiania.go.gov.br/Download/legislacao/diariooficial/1963/do_19631114_000000070.pdf
Edição  nº 69 de 21 de outubro de 1963,https://goiania.go.gov.br/Download/legislacao/diariooficial/1963/do_19631021_000000069.pdf
Edição  nº 68 de 28 de julho de 1963,https://goiania.go.gov.br/Download/legislacao/diariooficial/1963/do_19630728_000000068.pdf
Edição  nº 67 de 26 de abril de 1963,https://goiania.go.gov.br/Download/legislacao/diariooficial/1963/do_19630426_000000067.pdf
Edição  nº 66 de 15 de abril de 1963,https://goiania.go.gov.br/Download/legislacao/diariooficial/1963/do_19630415_000000066.pdf
Edição  nº 65 de 15 de março de 1963,https://goiania.go.gov.br/Download/legislacao/diariooficial/1963/do_19630315_000000065.pdf
Edição  nº 52 de 30 de dezembro de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19611230_000000052.pdf
Edição  nº 51 de 18 de dezembro de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19611218_000000051.pdf
Edição  nº 50 de 17 de julho de 1961,https://goiania.go.gov.br/Download/legislacao/diariooficial/1961/do_19610717_000000050.pdf
